command_path,option,dest,kiwoom_field,required,type,choices,value_map,default,description
kiwoom rankings previous-change-rate,--sort,sort,sort_tp,Y,market,rise-rate|rise-price|fall-rate|fall-price|flat,rise-rate=1;rise-price=2;fall-rate=3;fall-price=4;flat=5,,정렬구분
kiwoom rankings previous-change-rate,--volume,volume,trde_qty_cnd,Y,market,all|10k|50k|100k|150k|200k|300k|500k|1000k,all=0000;10k=0010;50k=0050;100k=0100;150k=0150;200k=0200;300k=0300;500k=0500;1000k=1000,,거래량조건
kiwoom rankings previous-change-rate,--stock-condition,stock_condition,stk_cnd,Y,market,all|exclude-managed|exclude-preferred|exclude-managed-preferred|exclude-margin-100|only-margin-100|only-margin-40|only-margin-30|only-margin-20|exclude-liquidation|only-margin-50|only-margin-60|exclude-etf|exclude-spac|exclude-etf-etn,all=0;exclude-managed=1;exclude-preferred=3;exclude-managed-preferred=4;exclude-margin-100=5;only-margin-100=6;only-margin-40=7;only-margin-30=8;only-margin-20=9;exclude-liquidation=11;only-margin-50=12;only-margin-60=13;exclude-etf=14;exclude-spac=15;exclude-etf-etn=16,,종목조건
kiwoom rankings previous-change-rate,--credit-condition,credit_condition,crd_cnd,Y,market,all|a|b|c|d|e|all-financing,all=0;a=1;b=2;c=3;d=4;e=7;all-financing=9,,신용조건
kiwoom rankings previous-change-rate,--include-limit,include_limit,updown_incls,Y,market,yes|no,yes=1;no=0,,상하한 포함 여부
kiwoom rankings previous-change-rate,--price-condition,price_condition,pric_cnd,Y,market,all|under-1k|1k-2k|2k-5k|5k-10k|over-10k|over-1k|under-10k,all=0;under-1k=1;1k-2k=2;2k-5k=3;5k-10k=4;over-10k=5;over-1k=8;under-10k=10,,가격조건
kiwoom rankings previous-change-rate,--amount-condition,amount_condition,trde_prica_cnd,Y,market,all|30m|50m|100m|300m|500m|1b|3b|5b|10b|30b|50b,all=0;30m=3;50m=5;100m=10;300m=30;500m=50;1b=100;3b=300;5b=500;10b=1000;30b=3000;50b=5000,,거래대금조건
kiwoom rankings previous-change-rate,--exchange,exchange,stex_tp,Y,market,KRX|NXT|ALL,KRX=1;NXT=2;ALL=3,,거래소구분
kiwoom rankings today-volume,--market,market,mrkt_tp,Y,market,all|kospi|kosdaq,all=000;kospi=001;kosdaq=101,,시장구분
kiwoom rankings today-volume,--sort,sort,sort_tp,Y,market,volume|turnover|amount,volume=1;turnover=2;amount=3,,정렬구분
kiwoom rankings today-volume,--stock-condition,stock_condition,mang_stk_incls,Y,market,include-managed|exclude-managed|exclude-preferred|exclude-liquidation|exclude-managed-preferred|exclude-margin-100|only-margin-100|only-margin-60|only-margin-50|only-margin-40|only-margin-30|only-margin-20|exclude-etf|exclude-spac|exclude-etf-etn,include-managed=0;exclude-managed=1;exclude-preferred=3;exclude-liquidation=11;exclude-managed-preferred=4;exclude-margin-100=5;only-margin-100=6;only-margin-60=13;only-margin-50=12;only-margin-40=7;only-margin-30=8;only-margin-20=9;exclude-etf=14;exclude-spac=15;exclude-etf-etn=16,,종목조건
kiwoom rankings today-volume,--credit-type,credit_type,crd_tp,Y,market,all|all-financing|a|b|c|d|short,all=0;all-financing=9;a=1;b=2;c=3;d=4;short=8,,신용구분
kiwoom rankings today-volume,--volume-condition,volume_condition,trde_qty_tp,Y,market,all|5k|10k|50k|100k|200k|300k|500k|1000k,all=0;5k=5;10k=10;50k=50;100k=100;200k=200;300k=300;500k=500;1000k=1000,,거래량조건
kiwoom rankings today-volume,--price-condition,price_condition,pric_tp,Y,market,all|under-1k|over-1k|1k-2k|2k-5k|over-5k|5k-10k|under-10k|over-10k|over-50k|over-100k,all=0;under-1k=1;over-1k=2;1k-2k=3;2k-5k=4;over-5k=5;5k-10k=6;under-10k=10;over-10k=7;over-50k=8;over-100k=9,,가격조건
kiwoom rankings today-volume,--amount-condition,amount_condition,trde_prica_tp,Y,market,all|10m|30m|50m|100m|300m|500m|1b|3b|5b|10b|30b|50b,all=0;10m=1;30m=3;50m=4;100m=10;300m=30;500m=50;1b=100;3b=300;5b=500;10b=1000;30b=3000;50b=5000,,거래대금조건
kiwoom rankings today-volume,--session,session,mrkt_open_tp,Y,market,all|regular|pre-open|after-hours,all=0;regular=1;pre-open=2;after-hours=3,,장운영구분
kiwoom rankings today-volume,--exchange,exchange,stex_tp,Y,market,KRX|NXT|ALL,KRX=1;NXT=2;ALL=3,,거래소구분
kiwoom rankings previous-volume,--market,market,mrkt_tp,Y,market,all|kospi|kosdaq,all=000;kospi=001;kosdaq=101,,시장구분
kiwoom rankings previous-volume,--kind,kind,qry_tp,Y,market,volume|amount,volume=1;amount=2,,조회구분
kiwoom rankings previous-volume,--rank-from,rank_from,rank_strt,Y,quantity,,,,순위시작
kiwoom rankings previous-volume,--rank-to,rank_to,rank_end,Y,quantity,,,,순위끝
kiwoom rankings previous-volume,--exchange,exchange,stex_tp,Y,market,KRX|NXT|ALL,KRX=1;NXT=2;ALL=3,,거래소구분
kiwoom rankings amount,--market,market,mrkt_tp,Y,market,all|kospi|kosdaq,all=000;kospi=001;kosdaq=101,,시장구분
kiwoom rankings amount,--include-managed,include_managed,mang_stk_incls,Y,market,yes|no,yes=1;no=0,,관리종목 포함 여부
kiwoom rankings amount,--exchange,exchange,stex_tp,Y,market,KRX|NXT|ALL,KRX=1;NXT=2;ALL=3,,거래소구분
kiwoom rankings credit-ratio,--market,market,mrkt_tp,Y,market,all|kospi|kosdaq,all=000;kospi=001;kosdaq=101,,시장구분
kiwoom rankings credit-ratio,--volume-condition,volume_condition,trde_qty_tp,Y,market,all|10k|50k|100k|200k|300k|500k|1000k,all=0;10k=10;50k=50;100k=100;200k=200;300k=300;500k=500;1000k=1000,,거래량조건
kiwoom rankings credit-ratio,--stock-condition,stock_condition,stk_cnd,Y,market,all|exclude-managed|exclude-margin-100|only-margin-100|only-margin-40|only-margin-30|only-margin-20,all=0;exclude-managed=1;exclude-margin-100=5;only-margin-100=6;only-margin-40=7;only-margin-30=8;only-margin-20=9,,종목조건
kiwoom rankings credit-ratio,--include-limit,include_limit,updown_incls,Y,market,yes|no,yes=1;no=0,,상하한 포함 여부
kiwoom rankings credit-ratio,--credit-condition,credit_condition,crd_cnd,Y,market,all|a|b|c|d|e|all-financing,all=0;a=1;b=2;c=3;d=4;e=7;all-financing=9,,신용조건
kiwoom rankings credit-ratio,--exchange,exchange,stex_tp,Y,market,KRX|NXT|ALL,KRX=1;NXT=2;ALL=3,,거래소구분
kiwoom rankings foreign-period-trades,--market,market,mrkt_tp,Y,market,all|kospi|kosdaq,all=000;kospi=001;kosdaq=101,,시장구분
kiwoom rankings foreign-period-trades,--side,side,trde_tp,Y,market,net-sell|net-buy|net-trade,net-sell=1;net-buy=2;net-trade=3,,매매구분
kiwoom rankings foreign-period-trades,--period,period,dt,Y,market,today|previous|5d|10d|20d|60d,today=0;previous=1;5d=5;10d=10;20d=20;60d=60,,기간
kiwoom rankings foreign-period-trades,--exchange,exchange,stex_tp,Y,market,KRX|NXT|ALL,KRX=1;NXT=2;ALL=3,,거래소구분
kiwoom rankings foreign-continuous-net,--market,market,mrkt_tp,Y,market,all|kospi|kosdaq,all=000;kospi=001;kosdaq=101,,시장구분
kiwoom rankings foreign-continuous-net,--side,side,trde_tp,Y,market,net-sell|net-buy,net-sell=1;net-buy=2,,매매구분
kiwoom rankings foreign-continuous-net,--base-date,base_date,base_dt_tp,Y,market,today|previous,today=0;previous=1,,기준일구분
kiwoom rankings foreign-continuous-net,--exchange,exchange,stex_tp,Y,market,KRX|NXT|ALL,KRX=1;NXT=2;ALL=3,,거래소구분
kiwoom rankings foreign-limit-usage,--market,market,mrkt_tp,Y,market,all|kospi|kosdaq,all=000;kospi=001;kosdaq=101,,시장구분
kiwoom rankings foreign-limit-usage,--period,period,dt,Y,market,today|previous|5d|10d|20d|60d,today=0;previous=1;5d=5;10d=10;20d=20;60d=60,,기간
kiwoom rankings foreign-limit-usage,--exchange,exchange,stex_tp,Y,market,KRX|NXT|ALL,KRX=1;NXT=2;ALL=3,,거래소구분
kiwoom rankings foreign-broker-trades,--market,market,mrkt_tp,Y,market,all|kospi|kosdaq,all=000;kospi=001;kosdaq=101,,시장구분
kiwoom rankings foreign-broker-trades,--period,period,dt,Y,market,today|previous|5d|10d|20d|60d,today=0;previous=1;5d=5;10d=10;20d=20;60d=60,,기간
kiwoom rankings foreign-broker-trades,--side,side,trde_tp,Y,market,net-buy|net-sell|buy|sell,net-buy=1;net-sell=2;buy=3;sell=4,,매매구분
kiwoom rankings foreign-broker-trades,--sort,sort,sort_tp,Y,market,amount|quantity,amount=1;quantity=2,,정렬구분
kiwoom rankings foreign-broker-trades,--exchange,exchange,stex_tp,Y,market,KRX|NXT|ALL,KRX=1;NXT=2;ALL=3,,거래소구분
kiwoom rankings broker-by-stock,--code,code,stk_cd,Y,exchange_stock_code,,,,거래소별 종목코드
kiwoom rankings broker-by-stock,--from,from_date,strt_dt,Y,date_yyyymmdd,,,,시작일자 YYYYMMDD
kiwoom rankings broker-by-stock,--to,to_date,end_dt,Y,date_yyyymmdd,,,,종료일자 YYYYMMDD
kiwoom rankings broker-by-stock,--side,side,qry_tp,Y,market,net-sell|net-buy,net-sell=1;net-buy=2,,조회구분
kiwoom rankings broker-by-stock,--period,period,dt,N,market,previous|5d|10d|20d|40d|60d|120d,previous=1;5d=4;10d=9;20d=19;40d=39;60d=59;120d=119,,기간
kiwoom rankings broker-trades,--broker-code,broker_code,mmcm_cd,Y,market,,,,회원사코드
kiwoom rankings broker-trades,--volume-condition,volume_condition,trde_qty_tp,Y,market,all|5k|10k|50k|100k|500k|1000k,all=0;5k=5;10k=10;50k=50;100k=100;500k=500;1000k=1000,,거래량조건
kiwoom rankings broker-trades,--side,side,trde_tp,Y,market,net-buy|net-sell,net-buy=1;net-sell=2,,매매구분
kiwoom rankings broker-trades,--period,period,dt,Y,market,previous|5d|10d|60d,previous=1;5d=5;10d=10;60d=60,,기간
kiwoom rankings broker-trades,--exchange,exchange,stex_tp,Y,market,KRX|NXT|ALL,KRX=1;NXT=2;ALL=3,,거래소구분
kiwoom rankings stock-main-brokers,--code,code,stk_cd,Y,exchange_stock_code,,,,거래소별 종목코드
kiwoom rankings net-buy-brokers,--code,code,stk_cd,Y,exchange_stock_code,,,,거래소별 종목코드
kiwoom rankings net-buy-brokers,--from,from_date,strt_dt,N,date_yyyymmdd,,,,시작일자 YYYYMMDD
kiwoom rankings net-buy-brokers,--to,to_date,end_dt,N,date_yyyymmdd,,,,종료일자 YYYYMMDD
kiwoom rankings net-buy-brokers,--date-mode,date_mode,qry_dt_tp,Y,market,period|start-end,period=0;start-end=1,,조회기간구분
kiwoom rankings net-buy-brokers,--point,point,pot_tp,Y,market,today|previous,today=0;previous=1,,시점구분
kiwoom rankings net-buy-brokers,--period,period,dt,N,market,5d|10d|20d|40d|60d|120d,5d=5;10d=10;20d=20;40d=40;60d=60;120d=120,,기간
kiwoom rankings net-buy-brokers,--sort,sort,sort_base,Y,market,close|date,close=1;date=2,,정렬기준
kiwoom rankings top-exit-brokers,--code,code,stk_cd,Y,exchange_stock_code,,,,거래소별 종목코드
kiwoom rankings same-net-trades,--from,from_date,strt_dt,Y,date_yyyymmdd,,,,시작일자 YYYYMMDD
kiwoom rankings same-net-trades,--to,to_date,end_dt,N,date_yyyymmdd,,,,종료일자 YYYYMMDD
kiwoom rankings same-net-trades,--market,market,mrkt_tp,Y,market,all|kospi|kosdaq,all=000;kospi=001;kosdaq=101,,시장구분
kiwoom rankings same-net-trades,--side,side,trde_tp,Y,market,net-buy|net-sell,net-buy=1;net-sell=2,,매매구분
kiwoom rankings same-net-trades,--basis,basis,sort_cnd,Y,market,quantity|amount,quantity=1;amount=2,,정렬조건
kiwoom rankings same-net-trades,--unit,unit,unit_tp,Y,market,share|thousand,share=1;thousand=1000,,단위구분
kiwoom rankings same-net-trades,--exchange,exchange,stex_tp,Y,market,KRX|NXT|ALL,KRX=1;NXT=2;ALL=3,,거래소구분
kiwoom rankings investor-intraday,--side,side,trde_tp,Y,market,net-buy|net-sell,net-buy=1;net-sell=2,,매매구분
kiwoom rankings investor-intraday,--market,market,mrkt_tp,Y,market,all|kospi|kosdaq,all=000;kospi=001;kosdaq=101,,시장구분
kiwoom rankings investor-intraday,--investor,investor,orgn_tp,Y,market,foreign|foreign-broker|financial-investment|investment-trust|other-financial|bank|insurance|pension|state|other-corporate|institution,foreign=9000;foreign-broker=9100;financial-investment=1000;investment-trust=3000;other-financial=5000;bank=4000;insurance=2000;pension=6000;state=7000;other-corporate=7100;institution=9999,,기관구분
kiwoom rankings investor-intraday,--basis,basis,amt_qty_tp,N,market,amount|quantity,amount=1;quantity=2,,금액수량구분
kiwoom rankings after-hours-change-rate,--market,market,mrkt_tp,Y,market,all|kospi|kosdaq,all=000;kospi=001;kosdaq=101,,시장구분
kiwoom rankings after-hours-change-rate,--sort,sort,sort_base,Y,market,rise-rate|rise-price|fall-rate|fall-price|flat,rise-rate=1;rise-price=2;fall-rate=3;fall-price=4;flat=5,,정렬기준
kiwoom rankings after-hours-change-rate,--stock-condition,stock_condition,stk_cnd,Y,market,all|exclude-managed|exclude-liquidation|exclude-preferred|exclude-managed-preferred|exclude-margin-100|only-margin-100|only-margin-50|only-margin-60|only-margin-40|only-margin-30|only-margin-20|exclude-etf|exclude-spac|exclude-etf-etn|exclude-etn,all=0;exclude-managed=1;exclude-liquidation=2;exclude-preferred=3;exclude-managed-preferred=4;exclude-margin-100=5;only-margin-100=6;only-margin-50=12;only-margin-60=13;only-margin-40=7;only-margin-30=8;only-margin-20=9;exclude-etf=14;exclude-spac=15;exclude-etf-etn=16;exclude-etn=17,,종목조건
kiwoom rankings after-hours-change-rate,--volume,volume,trde_qty_cnd,Y,market,all|100|500|1000|5k|10k|50k|100k,all=0;100=10;500=50;1000=100;5k=500;10k=1000;50k=5000;100k=10000,,거래량조건
kiwoom rankings after-hours-change-rate,--credit-condition,credit_condition,crd_cnd,Y,market,all|a|b|c|d|exclude-overlimit|e|short|all-financing,all=0;a=1;b=2;c=3;d=4;exclude-overlimit=5;e=7;short=8;all-financing=9,,신용조건
kiwoom rankings after-hours-change-rate,--amount-condition,amount_condition,trde_prica,Y,market,all|5m|10m|30m|50m|100m|300m|500m|1b|3b|5b|10b,all=0;5m=5;10m=10;30m=30;50m=50;100m=100;300m=300;500m=500;1b=1000;3b=3000;5b=5000;10b=10000,,거래대금조건
kiwoom rankings foreign-institution-trades,--market,market,mrkt_tp,Y,market,all|kospi|kosdaq,all=000;kospi=001;kosdaq=101,,시장구분
kiwoom rankings foreign-institution-trades,--basis,basis,amt_qty_tp,Y,market,amount|quantity,amount=1;quantity=2,,금액수량구분
kiwoom rankings foreign-institution-trades,--include-date,include_date,qry_dt_tp,Y,market,yes|no,yes=1;no=0,,조회일자 포함 여부
kiwoom rankings foreign-institution-trades,--date,date,date,N,date_yyyymmdd,,,,조회일자 YYYYMMDD
kiwoom rankings foreign-institution-trades,--exchange,exchange,stex_tp,Y,market,KRX|NXT|ALL,KRX=1;NXT=2;ALL=3,,거래소구분
kiwoom accounts daily-balance-return,--date,date,qry_dt,Y,date_yyyymmdd,,,,조회일자 YYYYMMDD
kiwoom accounts realized-profit-stock-daily,--code,code,stk_cd,N,stock_code,,,,6자리 국내 종목코드
kiwoom accounts realized-profit-stock-daily,--date,date,strt_dt,Y,date_yyyymmdd,,,,조회일자 YYYYMMDD
kiwoom accounts realized-profit-period-stock,--code,code,stk_cd,N,stock_code,,,,6자리 국내 종목코드
kiwoom accounts realized-profit-period-stock,--from,from_date,strt_dt,Y,date_yyyymmdd,,,,시작일자 YYYYMMDD
kiwoom accounts realized-profit-period-stock,--to,to_date,end_dt,Y,date_yyyymmdd,,,,종료일자 YYYYMMDD
kiwoom accounts realized-profit-daily,--from,from_date,strt_dt,Y,date_yyyymmdd,,,,시작일자 YYYYMMDD
kiwoom accounts realized-profit-daily,--to,to_date,end_dt,Y,date_yyyymmdd,,,,종료일자 YYYYMMDD
kiwoom accounts realized-profit-today-detail,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 종목코드
kiwoom accounts return-rate,--exchange,exchange,stex_tp,Y,market,ALL|KRX|NXT,ALL=0;KRX=1;NXT=2,,거래소구분
kiwoom accounts day-trading-log,--date,date,base_dt,N,date_yyyymmdd,,,,기준일자 YYYYMMDD
kiwoom accounts day-trading-log,--sell-scope,sell_scope,ottks_tp,Y,market,same-day-buy-sell|all-sells,same-day-buy-sell=1;all-sells=2,,단주구분
kiwoom accounts day-trading-log,--cash-credit,cash_credit,ch_crd_tp,Y,market,all|cash|credit,all=0;cash=1;credit=2,,현금신용구분
kiwoom accounts estimated-assets-daily,--from,from_date,start_dt,Y,date_yyyymmdd,,,,시작조회기간 YYYYMMDD
kiwoom accounts estimated-assets-daily,--to,to_date,end_dt,Y,date_yyyymmdd,,,,종료조회기간 YYYYMMDD
kiwoom accounts fill-balance,--exchange,exchange,dmst_stex_tp,Y,market,KRX|NXT,,,국내거래소구분
kiwoom accounts order-fill-detail,--date,date,ord_dt,N,date_yyyymmdd,,,,주문일자 YYYYMMDD
kiwoom accounts order-fill-detail,--order,order,qry_tp,Y,market,order|reverse,order=1;reverse=2,,조회 순서
kiwoom accounts order-fill-detail,--fill-status,fill_status,qry_tp,Y,market,open|filled,open=3;filled=4,,체결 상태 필터
kiwoom accounts order-fill-detail,--asset-kind,asset_kind,stk_bond_tp,Y,market,all|stock|bond,all=0;stock=1;bond=2,,주식채권구분
kiwoom accounts order-fill-detail,--side,side,sell_tp,Y,market,all|sell|buy,all=0;sell=1;buy=2,,매도수구분
kiwoom accounts order-fill-detail,--code,code,stk_cd,N,exchange_stock_code,,,,거래소별 종목코드
kiwoom accounts order-fill-detail,--order-id,order_id,fr_ord_no,N,order_id,,,,시작주문번호
kiwoom accounts order-fill-detail,--exchange,exchange,dmst_stex_tp,Y,market,ALL|KRX|NXT|SOR,ALL=%;KRX=KRX;NXT=NXT;SOR=SOR,,국내거래소구분
kiwoom accounts next-settlement,--settlement-id,settlement_id,strt_dcd_seq,N,market,,,,시작결제번호
kiwoom accounts order-fill-status,--date,date,ord_dt,N,date_yyyymmdd,,,,주문일자 YYYYMMDD
kiwoom accounts order-fill-status,--asset-kind,asset_kind,stk_bond_tp,Y,market,all|stock|bond,all=0;stock=1;bond=2,,주식채권구분
kiwoom accounts order-fill-status,--market,market,mrkt_tp,Y,market,all|kospi|kosdaq|otcbb|ecn,all=0;kospi=1;kosdaq=2;otcbb=3;ecn=4,,시장구분
kiwoom accounts order-fill-status,--side,side,sell_tp,Y,market,all|sell|buy,all=0;sell=1;buy=2,,매도수구분
kiwoom accounts order-fill-status,--fill-status,fill_status,qry_tp,Y,market,all|filled,all=0;filled=1,,체결 상태 필터
kiwoom accounts order-fill-status,--code,code,stk_cd,N,exchange_stock_code,,,,거래소별 종목코드
kiwoom accounts order-fill-status,--order-id,order_id,fr_ord_no,N,order_id,,,,시작주문번호
kiwoom accounts order-fill-status,--exchange,exchange,dmst_stex_tp,Y,market,ALL|KRX|NXT|SOR,ALL=%;KRX=KRX;NXT=NXT;SOR=SOR,,국내거래소구분
kiwoom accounts credit-margin,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 종목코드
kiwoom accounts credit-margin,--price,price,uv,N,price,,,,매수가격
kiwoom accounts transaction-history,--from,from_date,strt_dt,Y,date_yyyymmdd,,,,시작일자 YYYYMMDD
kiwoom accounts transaction-history,--to,to_date,end_dt,Y,date_yyyymmdd,,,,종료일자 YYYYMMDD
kiwoom accounts transaction-history,--kind,kind,tp,Y,market,,,,거래내역 구분 코드
kiwoom accounts transaction-history,--code,code,stk_cd,N,market,,,,종목코드
kiwoom accounts transaction-history,--currency,currency,crnc_cd,N,market,,,,통화코드
kiwoom accounts transaction-history,--product,product,gds_tp,Y,market,all|domestic-stock|fund|overseas-stock|financial-product,all=0;domestic-stock=1;fund=2;overseas-stock=3;financial-product=4,,상품구분
kiwoom accounts transaction-history,--overseas-exchange,overseas_exchange,frgn_stex_code,N,market,,,,해외거래소코드
kiwoom accounts transaction-history,--exchange,exchange,dmst_stex_tp,Y,market,ALL|KRX|NXT,ALL=%;KRX=KRX;NXT=NXT,,국내거래소구분
kiwoom accounts daily-return-detail,--from,from_date,fr_dt,Y,date_yyyymmdd,,,,평가시작일 YYYYMMDD
kiwoom accounts daily-return-detail,--to,to_date,to_dt,Y,date_yyyymmdd,,,,평가종료일 YYYYMMDD
kiwoom accounts gold-all-order-fills,--date,date,ord_dt,Y,date_yyyymmdd,,,,주문일자 YYYYMMDD
kiwoom accounts gold-all-order-fills,--order,order,qry_tp,N,market,order|reverse,order=1;reverse=2,,조회 순서
kiwoom accounts gold-all-order-fills,--market-deal,market_deal,mrkt_deal_tp,Y,market,,,,시장구분 코드
kiwoom accounts gold-all-order-fills,--asset-kind,asset_kind,stk_bond_tp,Y,market,all|stock|bond,all=0;stock=1;bond=2,,주식채권구분
kiwoom accounts gold-all-order-fills,--side,side,slby_tp,Y,market,all|sell|buy,all=0;sell=1;buy=2,,매도수구분
kiwoom accounts gold-all-order-fills,--code,code,stk_cd,N,market,,,,금현물 종목코드(예: M04020000 금 99.99_1kg)
kiwoom accounts gold-all-order-fills,--order-id,order_id,fr_ord_no,N,order_id,,,,시작주문번호
kiwoom accounts gold-all-order-fills,--exchange,exchange,dmst_stex_tp,N,market,ALL|KRX|NXT|SOR,ALL=%;KRX=KRX;NXT=NXT;SOR=SOR,,국내거래소구분
kiwoom accounts gold-order-fills,--date,date,ord_dt,N,date_yyyymmdd,,,,주문일자 YYYYMMDD
kiwoom accounts gold-order-fills,--order,order,qry_tp,Y,market,order|reverse,order=1;reverse=2,,조회 순서
kiwoom accounts gold-order-fills,--fill-status,fill_status,qry_tp,Y,market,open|filled,open=3;filled=4,,체결 상태 필터
kiwoom accounts gold-order-fills,--asset-kind,asset_kind,stk_bond_tp,Y,market,all|stock|bond,all=0;stock=1;bond=2,,주식채권구분
kiwoom accounts gold-order-fills,--side,side,sell_tp,Y,market,all|sell|buy,all=0;sell=1;buy=2,,매도수구분
kiwoom accounts gold-order-fills,--code,code,stk_cd,N,market,,,,금현물 종목코드(예: M04020000 금 99.99_1kg)
kiwoom accounts gold-order-fills,--order-id,order_id,fr_ord_no,N,order_id,,,,시작주문번호
kiwoom accounts gold-order-fills,--exchange,exchange,dmst_stex_tp,Y,market,ALL|KRX|NXT|SOR,ALL=%;KRX=KRX;NXT=NXT;SOR=SOR,,국내거래소구분
kiwoom accounts gold-transactions,--from,from_date,strt_dt,N,date_yyyymmdd,,,,시작일자 YYYYMMDD
kiwoom accounts gold-transactions,--to,to_date,end_dt,N,date_yyyymmdd,,,,종료일자 YYYYMMDD
kiwoom accounts gold-transactions,--kind,kind,tp,N,market,all|deposit-withdrawal|release|trade|buy|sell|deposit|withdrawal,all=0;deposit-withdrawal=1;release=2;trade=3;buy=4;sell=5;deposit=6;withdrawal=7,,거래내역 구분
kiwoom accounts gold-transactions,--code,code,stk_cd,N,market,,,,금현물 종목코드(예: M04020000 금 99.99_1kg)
kiwoom accounts gold-open-orders,--date,date,ord_dt,Y,date_yyyymmdd,,,,주문일자 YYYYMMDD
kiwoom accounts gold-open-orders,--order,order,qry_tp,N,market,order|reverse,order=1;reverse=2,,조회 순서
kiwoom accounts gold-open-orders,--market-deal,market_deal,mrkt_deal_tp,Y,market,,,,시장구분 코드
kiwoom accounts gold-open-orders,--asset-kind,asset_kind,stk_bond_tp,Y,market,all|stock|bond,all=0;stock=1;bond=2,,주식채권구분
kiwoom accounts gold-open-orders,--side,side,sell_tp,Y,market,all|sell|buy,all=0;sell=1;buy=2,,매도수구분
kiwoom accounts gold-open-orders,--code,code,stk_cd,N,market,,,,금현물 종목코드(예: M04020000 금 99.99_1kg)
kiwoom accounts gold-open-orders,--order-id,order_id,fr_ord_no,N,order_id,,,,시작주문번호
kiwoom accounts gold-open-orders,--exchange,exchange,dmst_stex_tp,N,market,ALL|KRX|NXT|SOR,ALL=%;KRX=KRX;NXT=NXT;SOR=SOR,,국내거래소구분
kiwoom orders credit-buy,--exchange,exchange,dmst_stex_tp,Y,market,KRX|NXT|SOR,,,국내거래소구분
kiwoom orders credit-buy,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 종목코드
kiwoom orders credit-buy,--qty,qty,ord_qty,Y,quantity,,,,주문수량
kiwoom orders credit-buy,--price,price,ord_uv,N,price,,,,주문단가
kiwoom orders credit-buy,--order-type,order_type,trde_tp,Y,order_type,limit|market|conditional-limit|after-hours-close|pre-open|after-hours-single|best-limit|top-priority|limit-ioc|market-ioc|best-ioc|limit-fok|market-fok|best-fok|stop-limit|mid|mid-ioc|mid-fok,limit=0;market=3;conditional-limit=5;after-hours-close=81;pre-open=61;after-hours-single=62;best-limit=6;top-priority=7;limit-ioc=10;market-ioc=13;best-ioc=16;limit-fok=20;market-fok=23;best-fok=26;stop-limit=28;mid=29;mid-ioc=30;mid-fok=31,,매매구분
kiwoom orders credit-buy,--condition-price,condition_price,cond_uv,N,price,,,,조건단가
kiwoom orders credit-sell,--exchange,exchange,dmst_stex_tp,Y,market,KRX|NXT|SOR,,,국내거래소구분
kiwoom orders credit-sell,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 종목코드
kiwoom orders credit-sell,--qty,qty,ord_qty,Y,quantity,,,,주문수량
kiwoom orders credit-sell,--price,price,ord_uv,N,price,,,,주문단가
kiwoom orders credit-sell,--order-type,order_type,trde_tp,Y,order_type,limit|market|conditional-limit|after-hours-close|pre-open|after-hours-single|best-limit|top-priority|limit-ioc|market-ioc|best-ioc|limit-fok|market-fok|best-fok|stop-limit|mid|mid-ioc|mid-fok,limit=0;market=3;conditional-limit=5;after-hours-close=81;pre-open=61;after-hours-single=62;best-limit=6;top-priority=7;limit-ioc=10;market-ioc=13;best-ioc=16;limit-fok=20;market-fok=23;best-fok=26;stop-limit=28;mid=29;mid-ioc=30;mid-fok=31,,매매구분
kiwoom orders credit-sell,--credit-deal,credit_deal,crd_deal_tp,Y,market,financing|financing-all,financing=33;financing-all=99,,신용거래구분
kiwoom orders credit-sell,--loan-date,loan_date,crd_loan_dt,N,date_yyyymmdd,,,,대출일 YYYYMMDD
kiwoom orders credit-sell,--condition-price,condition_price,cond_uv,N,price,,,,조건단가
kiwoom orders credit-modify,--exchange,exchange,dmst_stex_tp,Y,market,KRX|NXT|SOR,,,국내거래소구분
kiwoom orders credit-modify,--order-id,order_id,orig_ord_no,Y,preview_order_id,,,,원주문번호
kiwoom orders credit-modify,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 종목코드
kiwoom orders credit-modify,--qty,qty,mdfy_qty,Y,quantity,,,,정정수량
kiwoom orders credit-modify,--price,price,mdfy_uv,Y,price,,,,정정단가
kiwoom orders credit-modify,--condition-price,condition_price,mdfy_cond_uv,N,price,,,,정정조건단가
kiwoom orders credit-cancel,--exchange,exchange,dmst_stex_tp,Y,market,KRX|NXT|SOR,,,국내거래소구분
kiwoom orders credit-cancel,--order-id,order_id,orig_ord_no,Y,preview_order_id,,,,원주문번호
kiwoom orders credit-cancel,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 종목코드
kiwoom orders credit-cancel,--qty,qty,cncl_qty,Y,cancel_quantity,,,,취소수량; 0이면 잔량 전부 취소
kiwoom orders gold-buy,--code,code,stk_cd,Y,market,,,,금현물 종목코드(예: M04020000 금 99.99_1kg)
kiwoom orders gold-buy,--qty,qty,ord_qty,Y,quantity,,,,주문수량
kiwoom orders gold-buy,--price,price,ord_uv,N,price,,,,주문단가
kiwoom orders gold-buy,--order-type,order_type,trde_tp,Y,order_type,limit|limit-ioc|limit-fok,limit=00;limit-ioc=10;limit-fok=20,,매매구분
